Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,,,,,,
15-Aug-2022,60.810,+1.460,+2.460%,60.250,60.250,61.890,"772,233","46,992,613.000","937,588,757.000",,,,,,
12-Aug-2022,59.350,-0.120,-0.202%,59.200,58.670,60.080,"783,064","46,464,712.000","890,596,144.000",,,,,,
11-Aug-2022,59.470,+0.740,+1.260%,60.000,58.510,60.240,"970,491","57,719,054.000","937,060,856.000",,,,,,
10-Aug-2022,58.730,-1.200,-2.002%,59.000,58.260,59.720,"718,901","42,450,295.000","879,341,802.000",,,,,,
09-Aug-2022,59.930,+2.050,+3.542%,58.000,57.720,59.940,"1,411,418","83,853,768.000","921,792,097.000",,,,,,
08-Aug-2022,57.880,+0.230,+0.399%,57.600,56.850,59.480,"1,380,732","80,358,133.000","837,938,329.000",,,,,,
05-Aug-2022,57.650,+2.150,+3.874%,55.670,55.600,57.860,"910,533","51,977,330.000","757,580,196.000",,,,,,
04-Aug-2022,55.500,+0.700,+1.277%,54.850,54.580,55.820,"1,339,169","74,223,591.000","705,602,866.000",,,,,,
03-Aug-2022,54.800,+1.720,+3.240%,52.890,52.385,55.200,"1,066,887","58,088,754.000","631,379,275.000",,,,,,
02-Aug-2022,53.080,-0.880,-1.631%,53.510,52.380,54.180,"1,109,965","59,076,085.000","573,290,521.000",,,,,,
01-Aug-2022,53.960,+0.220,+0.409%,54.510,53.820,55.100,"918,089","49,892,156.000","632,366,606.000",,,,,,
29-Jul-2022,53.740,+0.530,+0.996%,54.610,53.520,56.050,"1,829,089","99,229,432.000","582,474,450.000",,,,,,
28-Jul-2022,53.210,+4.410,+9.037%,50.990,49.520,53.650,"2,970,775","155,580,557.000","483,245,018.000",,,,,,
27-Jul-2022,48.800,-0.420,-0.853%,49.180,48.380,49.670,"1,093,958","53,547,699.000","327,664,461.000",,,,,,
26-Jul-2022,49.220,+1.610,+3.382%,48.000,47.980,49.220,"1,013,864","49,557,599.000","381,212,160.000",,,,,,
25-Jul-2022,47.610,+0.790,+1.687%,47.350,47.090,48.140,"824,207","39,188,851.000","331,654,561.000",,,,,,
22-Jul-2022,46.820,-0.730,-1.535%,47.620,46.500,47.900,"1,408,485","72,663,860.000","292,465,710.000",,,,,,
21-Jul-2022,47.550,+0.020,+0.042%,47.310,46.340,47.620,"1,031,314","48,576,435.000","365,129,570.000",,,,,,
20-Jul-2022,47.530,+2.390,+5.295%,46.600,46.175,47.900,"1,128,393","53,205,989.000","316,553,135.000",,,,,,
19-Jul-2022,45.140,+0.020,+0.044%,45.040,44.950,46.700,"1,029,555","47,022,881.000","263,347,146.000",,,,,,
18-Jul-2022,45.120,+1.740,+4.011%,44.170,43.500,45.120,"1,097,896","48,800,314.000","216,324,265.000",,,,,,
15-Jul-2022,43.380,-3.530,-7.525%,45.000,43.370,45.050,"2,002,551","88,074,459.000","167,523,951.000",,,,,,
14-Jul-2022,46.910,+2.520,+5.677%,44.740,44.730,46.910,"1,987,685","92,596,415.000","255,598,410.000",,,,,,
13-Jul-2022,44.390,-0.420,-0.937%,44.000,43.270,44.655,"1,137,693","50,318,444.000","163,001,995.000",,,,,,
12-Jul-2022,44.810,-1.200,-2.608%,45.800,44.310,45.820,"1,230,298","55,323,329.000","213,320,439.000",,,,,,
11-Jul-2022,46.010,-0.870,-1.856%,47.970,46.010,48.000,"1,163,803","54,227,797.000","268,643,768.000",,,,,,
08-Jul-2022,46.880,+2.050,+4.573%,46.980,45.870,47.740,"1,735,959","81,831,506.000","322,871,565.000",,,,,,
07-Jul-2022,44.830,+1.940,+4.523%,44.290,44.000,45.160,"1,633,186","72,729,590.000","241,040,059.000",,,,,,
06-Jul-2022,42.890,-2.620,-5.757%,44.870,42.750,45.000,"1,416,682","61,414,723.000","168,310,469.000",,,,,,
05-Jul-2022,45.510,-0.450,-0.979%,46.450,45.510,46.750,"893,111","40,830,784.000","229,725,192.000",,,,,,
04-Jul-2022,45.960,-0.320,-0.691%,46.990,45.300,47.400,"1,021,678","47,035,450.000","270,555,976.000",,,,,,
01-Jul-2022,46.280,-1.990,-4.123%,48.340,46.270,48.910,"1,224,806","57,485,064.000","317,591,426.000",,,,,,
30-Jun-2022,48.270,-0.900,-1.830%,48.810,47.920,50.000,"1,536,516","74,905,201.000","375,076,490.000",,,,,,
29-Jun-2022,49.170,-0.250,-0.506%,49.370,48.645,49.880,"1,390,737","68,228,104.000","449,981,691.000",,,,,,
28-Jun-2022,49.420,+0.710,+1.458%,48.860,48.500,49.930,"1,333,178","65,843,766.000","518,209,795.000",,,,,,
27-Jun-2022,48.710,+0.510,+1.058%,49.260,48.510,50.190,"1,341,730","65,982,661.000","452,366,029.000",,,,,,
24-Jun-2022,48.200,+0.980,+2.075%,46.650,46.650,48.500,"1,027,687","49,120,249.000","386,383,368.000",,,,,,
23-Jun-2022,47.220,-1.550,-3.178%,48.100,46.530,48.340,"1,213,979","57,512,563.000","337,263,119.000",,,,,,
22-Jun-2022,48.770,-0.540,-1.095%,50.000,48.080,50.210,"1,168,220","57,122,961.000","394,775,682.000",,,,,,
21-Jun-2022,49.310,+1.000,+2.070%,49.490,48.640,50.000,"1,122,549","55,116,199.000","451,898,643.000",,,,,,
20-Jun-2022,48.310,-3.480,-6.719%,51.310,48.050,51.500,"1,129,054","55,324,331.000","396,782,444.000",,,,,,
17-Jun-2022,51.790,-1.660,-3.106%,52.000,51.280,52.510,"4,919,295","255,298,397.000","452,106,775.000",,,,,,
16-Jun-2022,53.450,-0.090,-0.168%,54.100,52.860,55.000,"1,321,642","71,094,183.000","707,405,172.000",,,,,,
15-Jun-2022,53.540,-2.020,-3.636%,55.170,53.400,55.490,"1,375,521","74,468,129.000","778,499,355.000",,,,,,
14-Jun-2022,55.560,-1.250,-2.200%,53.500,52.720,55.560,"1,580,039","86,026,057.000","852,967,484.000",,,,,,
10-Jun-2022,56.810,-1.110,-1.916%,57.090,55.880,57.690,"1,184,281","67,018,921.000","938,993,541.000",,,,,,
09-Jun-2022,57.920,-2.530,-4.185%,60.240,57.920,60.390,"852,011","50,031,513.000","1,006,012,462.000",,,,,,
08-Jun-2022,60.450,+0.980,+1.648%,60.390,59.230,60.900,"982,363","58,953,935.000","1,056,043,975.000",,,,,,
07-Jun-2022,59.470,-0.170,-0.285%,59.900,58.990,60.680,"717,397","42,846,797.000","997,090,040.000",,,,,,
06-Jun-2022,59.640,-0.710,-1.176%,60.000,59.600,60.920,"863,750","51,849,058.000","1,039,936,837.000",,,,,,
03-Jun-2022,60.350,+2.770,+4.811%,59.310,59.300,60.660,"959,822","57,733,971.000","1,091,785,895.000",,,,,,
02-Jun-2022,57.580,-1.120,-1.908%,58.260,56.620,59.450,"1,370,002","78,785,175.000","1,034,051,924.000",,,,,,
01-Jun-2022,58.700,-5.150,-8.066%,63.940,58.310,63.940,"1,783,683","106,329,722.000","1,112,837,099.000",,,,,,
31-May-2022,63.850,+1.150,+1.834%,63.290,62.635,64.180,"3,409,501","217,521,058.000","1,219,166,821.000",,,,,,
30-May-2022,62.700,+1.410,+2.301%,62.200,61.590,63.090,"885,018","55,247,005.000","1,001,645,763.000",,,,,,
27-May-2022,61.290,+1.070,+1.777%,61.980,61.000,61.990,"857,157","52,613,195.000","946,398,758.000",,,,,,
26-May-2022,60.220,-0.380,-0.627%,61.000,58.880,61.360,"1,068,277","64,381,594.000","893,785,563.000",,,,,,
25-May-2022,60.600,-0.030,-0.049%,61.500,60.115,61.740,"756,639","45,935,610.000","958,167,157.000",,,,,,
24-May-2022,60.630,+0.990,+1.660%,60.660,60.080,62.160,"1,359,294","83,270,017.000","1,004,102,767.000",,,,,,
23-May-2022,59.640,-0.180,-0.301%,60.900,59.640,61.990,"794,044","48,056,904.000","920,832,750.000",,,,,,
20-May-2022,59.820,+0.490,+0.826%,60.810,59.130,61.320,"1,981,389","117,924,709.000","968,889,654.000",,,,,,
19-May-2022,59.330,-1.440,-2.370%,58.300,57.850,59.750,"993,383","58,742,600.000","850,964,945.000",,,,,,
18-May-2022,60.770,+2.610,+4.488%,60.000,59.180,61.000,"1,359,787","82,016,848.000","909,707,545.000",,,,,,
17-May-2022,58.160,+3.140,+5.707%,56.340,56.200,58.420,"861,925","49,840,672.000","827,690,697.000",,,,,,
16-May-2022,55.020,+0.950,+1.757%,55.470,54.260,56.210,"847,742","46,756,261.000","777,850,025.000",,,,,,
13-May-2022,54.070,+0.950,+1.788%,53.040,53.000,54.460,"980,308","52,859,768.000","731,093,764.000",,,,,,
12-May-2022,53.120,-1.140,-2.101%,54.000,52.820,55.140,"1,118,432","60,102,557.000","678,233,996.000",,,,,,
11-May-2022,54.260,+1.550,+2.941%,52.500,51.850,54.650,"881,277","47,369,870.000","738,336,553.000",,,,,,
10-May-2022,52.710,-1.020,-1.898%,52.000,51.050,53.040,"1,413,033","73,860,523.000","690,966,683.000",,,,,,
09-May-2022,53.730,-2.630,-4.666%,55.100,52.840,55.270,"761,503","41,153,106.000","764,827,206.000",,,,,,
06-May-2022,56.360,+0.180,+0.320%,53.800,53.650,56.460,"953,957","52,979,649.000","805,980,312.000",,,,,,
