Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,Column1,_1,_2,_3,_4
8/10/22,1.32,,0.08,0.06452,1.265,1.2,1.35,45227871,58310973,390053843,,,,,
8/9/22,1.24,,0.165,0.15349,1.125,1.11,1.383,90951026,113294397,331742870,,,,,
8/8/22,1.075,,0.145,0.15591,0.94,0.92,1.08,35509266,35569374,218448473,,,,,
8/5/22,0.93,,0.035,0.03911,0.91,0.895,0.94,18054910,16596237,182879099,,,,,
8/4/22,0.895,,0.005,0.00562,0.91,0.875,0.94,29100666,26400464,166282862,,,,,
8/3/22,0.89,,0.085,0.10559,0.8,0.78,0.9,26073582,22115142,139882398,,,,,
8/2/22,0.805,,-0.025,-0.03012,0.83,0.79,0.838,16624399,13454683,117767256,,,,,
8/1/22,0.83,,0.02,0.02469,0.835,0.828,0.935,36484035,31926569,131221939,,,,,
7/29/22,0.81,,0.035,0.04516,0.81,0.78,0.835,20160304,16191650,99295370,,,,,
7/28/22,0.775,,0.035,0.0473,0.765,0.75,0.8,26739750,20670916,83103720,,,,,
7/27/22,0.74,,0.01,0.0137,0.725,0.71,0.755,14574175,10744472,62432804,,,,,
7/26/22,0.73,,0.04,0.05797,0.695,0.69,0.73,21434787,15328985,51688332,,,,,
7/25/22,0.69,,-0.01,-0.01429,0.71,0.68,0.715,16290962,11360541,36359347,,,,,
7/22/22,0.7,,-0.045,-0.0604,0.77,0.7,0.77,24545269,17745726,47719888,,,,,
7/21/22,0.745,,0.045,0.06429,0.705,0.7,0.77,37834858,28156925,65465614,,,,,
7/20/22,0.7,,-0.01,-0.01408,0.755,0.693,0.775,41657295,29840030,37308689,,,,,
7/19/22,0.71,,0.085,0.136,0.615,0.615,0.715,35144631,23962001,67148719,,,,,
7/18/22,0.625,,0.02,0.03306,0.62,0.6,0.635,20707423,12801166,43186718,,,,,
7/15/22,0.605,,0,0,0.59,0.585,0.623,25725029,15496211,30385552,,,,,
7/14/22,0.605,,-0.07,-0.1037,0.59,0.545,0.655,80245786,47865958,45881763,,,,,
7/11/22,0.675,,-0.045,-0.0625,0.725,0.675,0.725,22421156,15580632,93747721,,,,,
7/8/22,0.72,,0.02,0.02857,0.73,0.718,0.76,25238574,18664922,109328353,,,,,
7/7/22,0.7,,-0.015,-0.02098,0.72,0.67,0.725,21449697,14852788,90663431,,,,,
7/6/22,0.715,,-0.045,-0.05921,0.76,0.71,0.76,16202401,11861365,105516219,,,,,
7/5/22,0.76,,0.025,0.03401,0.725,0.725,0.775,14067723,10577454,117377584,,,,,
7/4/22,0.735,,-0.025,-0.03289,0.78,0.725,0.81,19132779,14514001,106800130,,,,,
7/1/22,0.76,,-0.025,-0.03185,0.79,0.755,0.805,19911503,15386175,121314131,,,,,
6/30/22,0.785,,-0.01,-0.01258,0.77,0.765,0.84,21000778,16706678,136700306,,,,,
6/29/22,0.795,,-0.035,-0.04217,0.84,0.78,0.86,25098316,20459869,153406984,,,,,
6/28/22,0.83,,-0.035,-0.04046,0.865,0.82,0.875,20006331,16795116,173866853,,,,,
6/27/22,0.865,,0.06,0.07453,0.89,0.835,0.895,42055933,36379953,190661969,,,,,
6/24/22,0.805,,0.105,0.15,0.75,0.72,0.865,92099243,73773218,154282016,,,,,
6/23/22,0.7,,-0.14,-0.16667,0.8,0.675,0.855,101912743,75230519,80508798,,,,,
6/22/22,0.84,,-0.13,-0.13402,0.94,0.785,0.98,107088575,92492449,155739317,,,,,
6/21/22,0.97,,-0.385,-0.28413,1.36,0.95,1.375,63221077,70896925,248231766,,,,,
6/20/22,1.355,,-0.215,-0.13694,1.59,1.32,1.605,21268980,30073758,319128691,,,,,
6/17/22,1.57,,-0.095,-0.05706,1.59,1.53,1.63,94443526,148420304,349202449,,,,,
6/16/22,1.665,,0.145,0.09539,1.555,1.555,1.695,27025617,44337526,497622753,,,,,
6/15/22,1.52,,-0.07,-0.04403,1.55,1.485,1.6,24081933,37121544,453285227,,,,,
6/14/22,1.59,,0.19,0.13571,1.305,1.3,1.62,46367840,68362123,490406771,,,,,
6/10/22,1.4,,0.075,0.0566,1.3,1.29,1.4,18034942,24298908,422044648,,,,,
6/9/22,1.325,,-0.125,-0.08621,1.44,1.325,1.44,14429994,19649908,397745740,,,,,
6/8/22,1.45,,-0.015,-0.01024,1.49,1.445,1.525,9433471,13849765,417395648,,,,,
6/7/22,1.465,,0.055,0.03901,1.435,1.42,1.515,14240421,21071037,431245413,,,,,
6/6/22,1.41,,-0.025,-0.01742,1.435,1.375,1.435,8819230,12418178,410174376,,,,,
6/3/22,1.435,,0.11,0.08302,1.405,1.4,1.47,15237410,21971381,422592554,,,,,
6/2/22,1.325,,-0.025,-0.01852,1.31,1.285,1.365,22612709,29983672,400621173,,,,,
6/1/22,1.35,,-0.2,-0.12903,1.52,1.325,1.53,24599672,34520900,430604845,,,,,
5/31/22,1.55,,0.06,0.04027,1.495,1.47,1.56,63300270,97675357,465125745,,,,,
5/30/22,1.49,,0.065,0.04561,1.485,1.47,1.56,16414104,24791794,367450388,,,,,
5/27/22,1.425,,-0.035,-0.02397,1.515,1.42,1.515,12036537,17652958,342658594,,,,,
5/26/22,1.46,,0.04,0.02817,1.45,1.405,1.51,14508786,21293681,360311552,,,,,
5/25/22,1.42,,-0.02,-0.01389,1.445,1.4,1.475,8690193,12368112,339017871,,,,,
5/24/22,1.44,,-0.065,-0.04319,1.55,1.44,1.56,12854080,19193560,351385983,,,,,
5/23/22,1.505,,-0.005,-0.00331,1.55,1.49,1.595,12254597,18813879,370579543,,,,,
5/20/22,1.51,,0.105,0.07473,1.45,1.4,1.515,22780404,33030828,389393422,,,,,
5/19/22,1.405,,-0.095,-0.06333,1.43,1.37,1.45,13303451,18841600,356362594,,,,,
5/18/22,1.5,,0.04,0.0274,1.51,1.48,1.555,14980324,22493784,375204194,,,,,
5/17/22,1.46,,0.015,0.01038,1.465,1.42,1.483,10630748,15509829,352710410,,,,,
5/16/22,1.445,,0.045,0.03214,1.46,1.43,1.525,12569254,18426668,337200581,,,,,
5/13/22,1.4,,0.01,0.00719,1.43,1.38,1.46,11173308,15784755,318773913,,,,,
5/12/22,1.39,,-0.065,-0.04467,1.395,1.365,1.49,12645535,17934087,302989158,,,,,
5/11/22,1.455,,0.04,0.02827,1.41,1.333,1.47,11669513,16524415,320923245,,,,,
5/10/22,1.415,,-0.045,-0.03082,1.31,1.245,1.435,32000945,43266599,304398830,,,,,
5/9/22,1.46,,-0.19,-0.11515,1.585,1.45,1.585,21382114,32084775,347665429,,,,,
5/6/22,1.65,,-0.115,-0.06516,1.6,1.54,1.65,23644012,38075624,379750204,,,,,
5/5/22,1.765,,0.095,0.05689,1.72,1.72,1.81,11728459,20736254,417825828,,,,,
5/4/22,1.67,,-0.075,-0.04298,1.755,1.64,1.8,14944882,25316604,397089574,,,,,
5/3/22,1.745,,-0.125,-0.06684,1.88,1.73,1.905,13170138,23593566,422406178,,,,,
5/2/22,1.87,,-0.1,-0.05076,1.91,1.845,1.91,11476915,21484131,445999744,,,,,
4/29/22,1.97,,0.03,0.01546,1.985,1.96,2.04,9670893,19261020,467483875,,,,,
4/28/22,1.94,,-0.02,-0.0102,2.02,1.94,2.06,8092609,16034365,448222855,,,,,
4/27/22,1.96,,-0.06,-0.0297,1.92,1.88,1.985,14663140,28268381,464257220,,,,,
4/26/22,2.02,,-0.1,-0.04717,2.04,1.97,2.08,12971244,26199603,492525601,,,,,
4/22/22,2.12,,-0.04,-0.01852,2.1,2.06,2.2,8903580,19030529,518725204,,,,,
4/21/22,2.16,,-0.04,-0.01818,2.27,2.13,2.35,12000869,26864790,537755733,,,,,
4/20/22,2.2,,-0.09,-0.0393,2.33,2.15,2.36,10933541,24510956,564620523,,,,,
4/19/22,2.29,,0.28,0.1393,2.04,2.02,2.36,20012995,44864054,589131479,,,,,
4/14/22,2.01,,-0.01,-0.00495,2.08,1.95,2.12,16412661,33435971,544267425,,,,,
4/13/22,2.02,,0.18,0.09783,1.86,1.845,2.07,19029093,37599431,577703396,,,,,
4/12/22,1.84,,-0.15,-0.07538,2,1.81,2,20239662,37775439,540103965,,,,,
4/11/22,1.99,,0.13,0.06989,2.08,1.97,2.16,30597564,63117838,577879404,,,,,
4/8/22,1.86,,-0.135,-0.06767,2.07,1.845,2.12,18501229,36266785,514761566,,,,,
4/7/22,1.995,,-0.115,-0.0545,2.05,1.97,2.17,19651759,40208681,551028351,,,,,
4/6/22,2.11,,-0.14,-0.06222,2.1,2.05,2.2,16969382,36106701,591237032,,,,,
4/5/22,2.25,,-0.2,-0.08163,2.54,2.23,2.65,20939833,50059270,627343733,,,,,
4/4/22,2.45,,0.14,0.06061,2.38,2.26,2.5,22232333,53072808,677403003,,,,,
4/1/22,2.31,,0.315,0.15789,2.03,2.03,2.34,19623621,43826763,624330195,,,,,
3/31/22,1.995,,0.05,0.02571,1.97,1.955,2.1,14582272,29472104,580503432,,,,,
3/30/22,1.945,,0.015,0.00777,1.96,1.87,1.985,15065655,29086107,551031328,,,,,
3/29/22,1.93,,0.25,0.14881,1.745,1.74,1.98,33533638,63041512,521945221,,,,,
3/28/22,1.68,,-0.095,-0.05352,1.75,1.68,1.81,11893948,20685405,458903709,,,,,
3/25/22,1.775,,-0.01,-0.0056,1.82,1.77,1.85,18617796,33616425,479589114,,,,,
3/24/22,1.785,,-0.01,-0.00557,1.76,1.7,1.87,19424597,34975910,513205539,,,,,
3/23/22,1.795,,0.145,0.08788,1.675,1.59,1.795,20950831,35758181,548181449,,,,,
3/22/22,1.65,,0.065,0.04101,1.6,1.545,1.685,16534728,26710621,512423268,,,,,
3/21/22,1.585,,0.035,0.02258,1.62,1.56,1.66,18296435,29253931,485712647,,,,,
3/18/22,1.55,,0.135,0.09541,1.45,1.38,1.553,82066823,125590111,456458716,,,,,
3/17/22,1.415,,0.08,0.05993,1.39,1.39,1.505,31402782,45474198,330868605,,,,,
3/16/22,1.335,,0.135,0.1125,1.23,1.225,1.36,21255811,27579268,285394407,,,,,
3/15/22,1.2,,-0.055,-0.04382,1.235,1.175,1.24,11921176,14384392,257815139,,,,,
3/14/22,1.255,,-0.035,-0.02713,1.24,1.22,1.3,18738843,23545232,272199531,,,,,
3/11/22,1.29,,0.09,0.075,1.205,1.17,1.335,21544280,27506519,295744763,,,,,
3/10/22,1.2,,0.065,0.05727,1.14,1.135,1.24,20973912,24997752,268238244,,,,,
3/9/22,1.135,,0.13,0.12935,1.02,1.02,1.135,16671407,18148218,243240492,,,,,
3/8/22,1.005,,0.02,0.0203,0.985,0.98,1.03,9912954,9991850,225092274,,,,,
3/7/22,0.985,,-0.005,-0.00505,1.01,0.975,1.03,16387170,16396958,215100424,,,,,
3/4/22,0.99,,-0.065,-0.06161,1.035,0.97,1.035,21942451,21836930,231497382,,,,,
3/3/22,1.055,,0.08,0.08205,0.995,0.99,1.07,23190807,24031251,253334312,,,,,
